Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID
1766065935.923105,1.2500,0.2900,1.8900,1.9938,-0.7438,295.3000,-62.7059,-1.9941,CAR ,2,2
1766065935.9749873,1.2600,0.2900,1.9000,1.9938,-0.7338,295.3000,-62.7036,-1.9964,CAR ,2,2
1766065936.028029,1.2500,0.2900,1.8900,1.9938,-0.7438,295.2900,-62.7300,-1.9800,CAR ,2,2
1766065936.1263642,1.2500,0.2900,1.8900,1.9937,-0.7437,295.3000,-62.6967,-2.0033,CAR ,2,2
1766065936.2243323,1.2500,0.2900,1.8900,1.9937,-0.7437,295.3100,-62.7088,-1.9812,CAR ,2,2
1766065936.27405,1.2600,0.2900,1.9000,1.9937,-0.7337,295.3100,-62.6932,-1.9968,CAR ,2,2
1766065936.341134,1.2500,0.2900,1.8900,1.9938,-0.7438,295.3100,-62.7107,-1.9793,CAR ,2,2
1766065936.399542,0.5400,-1.0000,0.5400,1.9938,-1.4538,116.0000,-62.7200,178.7200,CAR ,7,6
1766065936.4965265,1.2500,0.2900,1.8900,1.9938,-0.7438,295.3000,-62.7124,-1.9876,CAR ,2,2
1766065936.5658028,0.5500,-1.0000,0.5500,1.9938,-1.4438,115.8700,-62.7063,178.5763,CAR ,7,6
1766065936.6220317,1.2500,0.2900,1.8900,1.9938,-0.7438,295.3100,-62.7098,-1.9802,CAR ,2,2
1766065936.6737978,1.2500,0.2900,1.8900,1.9937,-0.7437,295.3100,-62.6946,-1.9954,CAR ,2,2
1766065936.7517853,0.5500,-1.0000,0.5500,1.9938,-1.4438,115.8100,-62.7170,178.5270,CAR ,7,6
1766065936.8198035,1.2500,0.2900,1.8900,1.9938,-0.7438,295.3000,-62.7128,-1.9872,CAR ,2,2
1766065936.8786051,1.2500,0.2900,1.8900,1.9938,-0.7438,295.3100,-62.7062,-1.9838,CAR ,2,2
1766065936.9773495,1.2500,0.2900,1.8900,1.9937,-0.7437,295.3000,-62.7122,-1.9878,CAR ,2,2
1766065937.0464456,1.2500,0.2900,1.9000,1.9938,-0.7438,295.3100,-62.7267,-1.9633,CAR ,2,2
1766065937.1212134,1.2600,0.2900,1.9000,1.9937,-0.7337,295.3100,-62.7149,-1.9751,CAR ,2,2
1766065937.18438,1.2600,0.2900,1.9000,1.9938,-0.7338,295.3200,-62.7088,-1.9712,CAR ,2,2
1766065937.2645903,1.2500,0.2900,1.9000,1.9938,-0.7438,295.3100,-62.7251,-1.9649,CAR ,2,2
1766065937.3262854,1.2500,0.2900,1.9000,1.9938,-0.7438,295.3100,-62.7024,-1.9876,CAR ,2,2
1766065937.4210896,1.2500,0.2900,1.8900,1.9938,-0.7438,295.3100,-62.7024,-1.9876,CAR ,2,2
1766065937.4729507,1.2500,0.2900,1.8900,1.9938,-0.7438,295.3000,-62.6980,-2.0020,CAR ,2,2
1766065937.540838,1.2500,0.2900,1.8900,1.9937,-0.7437,295.3000,-62.6964,-2.0036,CAR ,2,2
