Time,Vision_Dist,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID,Target_Global_Yaw,Robot_Speed
1766072792.8310568,0.6600,1.9151,-1.2551,117.1200,-50.5571,167.6771,CAR ,7,6,2.24,0.000
1766072792.8812702,0.6500,1.9151,-1.2651,117.0400,-50.5731,167.6131,CAR ,7,6,2.23,0.000
1766072792.9317753,0.6500,1.9150,-1.2650,117.0500,-50.5457,167.5957,CAR ,7,6,2.23,0.000
1766072793.0326204,0.6500,1.9151,-1.2651,117.0400,-50.5638,167.6038,CAR ,7,6,2.23,0.000
1766072793.0844107,0.6500,1.9150,-1.2650,117.0300,-50.5517,167.5817,CAR ,7,6,2.23,0.001
1766072793.13431,0.6400,1.9150,-1.2750,116.9800,-50.5516,167.5316,CAR ,7,6,2.23,0.001
1766072793.1842818,0.6500,1.9151,-1.2651,117.0600,-50.5847,167.6447,CAR ,7,6,2.23,0.001
1766072793.2349648,0.6600,1.9151,-1.2551,117.1300,-50.5699,167.6999,CAR ,7,6,2.23,0.001
1766072793.2860427,0.6100,1.9151,-1.3051,116.7400,-50.5560,167.2960,CAR ,7,6,2.22,0.000
1766072793.33596,0.6300,1.9151,-1.2851,116.9100,-50.5631,167.4731,CAR ,7,6,2.21,0.000
1766072793.4378932,0.6500,1.9151,-1.2651,117.0100,-50.5604,167.5704,CAR ,7,6,2.23,0.000
1766072793.538613,0.6500,1.9150,-1.2650,117.0200,-50.5766,167.5966,CAR ,7,6,2.23,0.001
1766072793.6392725,0.6600,1.9150,-1.2550,117.0900,-50.5727,167.6627,CAR ,7,6,2.24,0.000
1766072793.7400184,0.6500,1.9151,-1.2651,117.0400,-50.5554,167.5954,CAR ,7,6,2.22,0.000
1766072793.8409107,0.6600,1.9151,-1.2551,117.1100,-50.5696,167.6796,CAR ,7,6,2.22,0.000
1766072793.891631,0.6600,1.9151,-1.2551,117.0500,-50.5669,167.6169,CAR ,7,6,2.23,0.000
1766072793.9422433,0.6400,1.9150,-1.2750,116.9200,-50.5715,167.4915,CAR ,7,6,2.22,0.001
1766072794.042301,0.6600,1.9151,-1.2551,117.1000,-50.5559,167.6559,CAR ,7,6,2.22,0.000
