Time,Vision_Dist,Vision_Geo,Vision_Width,Vicon_Dist,Dist_Err,Vision_Ang,Vicon_Ang,Ang_Err,Target_Type,Vision_Class,Cam_ID,Target_Global_Yaw,Robot_Speed
1766060476.1583045,3.2300,-1.0000,3.2300,1.4271,1.8029,237.8000,-127.6346,5.4346,BALL,6,2,268.88,0.000
1766060476.2482474,3.2400,-1.0000,3.2400,1.4272,1.8128,237.8000,-127.6402,5.4402,BALL,6,2,268.90,0.000
1766060476.3471606,3.2300,-1.0000,3.2300,1.4271,1.8029,237.8000,-127.6179,5.4179,BALL,6,2,268.89,0.000
1766060476.4448023,3.2400,-1.0000,3.2400,1.4272,1.8128,237.8000,-127.6255,5.4255,BALL,6,2,268.89,0.000
1766060476.5460327,3.2700,-1.0000,3.2700,1.4272,1.8428,237.7900,-127.6496,5.4396,BALL,6,2,268.89,0.000
1766060476.6486413,3.2100,-1.0000,3.2100,1.4272,1.7828,237.8200,-127.6255,5.4455,BALL,6,2,268.90,0.000
1766060476.7463605,3.2200,-1.0000,3.2200,1.4271,1.7929,237.8100,-127.6178,5.4278,BALL,6,2,268.87,0.000
1766060476.8480299,3.2500,-1.0000,3.2500,1.4272,1.8228,237.8000,-127.6361,5.4361,BALL,6,2,268.90,0.000
1766060476.944008,3.2700,-1.0000,3.2700,1.4273,1.8427,237.7900,-127.4278,5.2178,BALL,6,2,268.87,0.002
1766060476.9944556,3.2700,-1.0000,3.2700,1.4273,1.8427,237.7900,-127.4526,5.2426,BALL,6,2,268.88,0.001
1766060477.0446599,3.2400,-1.0000,3.2400,1.4273,1.8127,237.8000,-127.4319,5.2319,BALL,6,2,268.89,0.000
1766060477.1554868,3.2300,-1.0000,3.2300,1.4273,1.8027,237.8000,-127.4299,5.2299,BALL,6,2,268.90,0.000
1766060477.2508109,3.2200,-1.0000,3.2200,1.4273,1.7927,237.8100,-127.4368,5.2468,BALL,6,2,268.88,0.000
1766060477.3434768,3.2400,-1.0000,3.2400,1.4272,1.8128,237.8000,-127.4359,5.2359,BALL,6,2,268.84,0.000
1766060477.4503906,3.2500,-1.0000,3.2500,1.4273,1.8227,237.8000,-127.4319,5.2319,BALL,6,2,268.89,0.000
1766060477.5129983,3.2900,-1.0000,3.2900,1.4273,1.8627,237.7800,-127.4379,5.2179,BALL,6,2,268.86,0.001
1766060477.5717666,3.2500,-1.0000,3.2500,1.4273,1.8227,237.8000,-127.4363,5.2363,BALL,6,2,268.85,0.000
1766060477.6804793,3.2200,-1.0000,3.2200,1.4273,1.7927,237.8100,-127.4427,5.2527,BALL,6,2,268.91,0.000
1766060477.7741022,3.2400,-1.0000,3.2400,1.4273,1.8127,237.8000,-127.4361,5.2361,BALL,6,2,268.86,0.000
1766060477.8743014,3.2800,-1.0000,3.2800,1.4273,1.8527,237.7800,-127.4380,5.2180,BALL,6,2,268.86,0.000
1766060477.9767616,3.2400,-1.0000,3.2400,1.4273,1.8127,237.8000,-127.4379,5.2379,BALL,6,2,268.91,0.000
1766060478.0770557,3.2600,-1.0000,3.2600,1.4273,1.8327,237.7900,-127.4433,5.2333,BALL,6,2,268.92,0.000
1766060478.1731308,3.2500,-1.0000,3.2500,1.4273,1.8227,237.8000,-127.4289,5.2289,BALL,6,2,268.90,0.000
1766060478.274403,3.2500,-1.0000,3.2500,1.4254,1.8246,237.8000,-127.6572,5.4572,BALL,6,2,268.86,0.034
1766060478.3776448,3.8800,-1.0000,3.8800,1.4065,2.4735,237.5600,-129.9243,7.4843,BALL,6,2,268.83,0.295
1766060478.5782492,0.2900,0.2900,4.1900,1.2352,-0.9452,210.0600,-143.0483,-6.8917,CAR ,2,0,3.99,0.405
1766060478.6802802,0.2700,0.2700,2.8400,1.2147,-0.9447,209.1600,-145.3639,-5.4761,CAR ,2,0,4.00,0.381
1766060478.778005,0.2600,0.2600,2.1100,1.1954,-0.9354,208.5300,-147.0899,-4.3801,CAR ,2,0,3.97,0.394
1766060478.8806682,0.2400,0.2400,1.7100,1.1755,-0.9355,207.8900,-148.4903,-3.6197,CAR ,2,0,4.00,0.373
1766060478.982052,0.2400,0.2400,1.5200,1.1559,-0.9159,207.3700,-150.0878,-2.5422,CAR ,2,0,3.98,0.396
1766060479.079225,0.9000,0.2700,1.3200,1.1376,-0.2376,206.6700,-151.6760,-1.6540,CAR ,2,0,4.01,0.379
1766060479.180839,0.8200,0.2800,1.1700,1.1190,-0.2990,205.9500,-153.4936,-0.5564,CAR ,2,0,4.00,0.377
1766060479.278135,0.7300,0.2600,1.0400,1.1005,-0.3705,204.7400,-155.5837,0.3237,CAR ,2,0,3.99,0.394
1766060479.378377,0.6900,0.2700,0.9700,1.0845,-0.3945,203.5700,-157.6829,1.2529,CAR ,2,0,4.01,0.364
1766060479.4819856,0.7000,0.2600,0.9900,1.0649,-0.3649,202.0800,-159.3585,1.4385,CAR ,2,0,4.00,0.411
1766060479.5791998,0.7000,0.2700,0.9900,1.0483,-0.3483,200.2200,-160.7290,0.9490,CAR ,2,0,3.99,0.375
1766060479.6793485,0.7200,0.2800,1.0100,1.0321,-0.3121,199.2400,-161.9460,1.1860,CAR ,2,0,3.98,0.353
1766060479.781929,0.6900,0.2800,0.9700,1.0140,-0.3240,197.5500,-163.9773,1.5273,CAR ,2,0,4.00,0.385
1766060479.882061,0.6800,0.2800,0.9500,0.9969,-0.3169,195.5300,-166.1709,1.7009,CAR ,2,0,3.99,0.382
1766060479.9822776,0.6700,0.2700,0.9300,0.9781,-0.3081,193.3200,-168.5514,1.8714,CAR ,2,0,4.01,0.411
1766060480.0864289,0.6600,0.2800,0.9100,0.9610,-0.3010,191.2800,-170.8229,2.1029,CAR ,2,0,4.02,0.379
1766060480.1824427,0.6500,0.2800,0.9000,0.9448,-0.2948,189.1200,-173.0830,2.2030,CAR ,2,0,3.98,0.393
1766060480.2829716,0.6300,0.2700,0.8600,0.9275,-0.2975,186.8800,-175.5977,2.4777,CAR ,2,0,4.00,0.400
1766060480.383278,0.6200,0.2600,0.8500,0.9120,-0.2920,184.4200,-177.5462,1.9662,CAR ,2,0,3.97,0.357
1766060480.4872699,0.6200,0.2700,0.8500,0.8950,-0.2750,182.5500,-179.5027,2.0527,CAR ,2,0,4.00,0.401
1766060480.5461993,0.6100,0.2700,0.8400,0.8862,-0.2762,181.5600,179.2595,2.3005,CAR ,2,0,4.00,0.385
1766060480.6496077,0.6000,0.2700,0.8200,0.8727,-0.2727,178.7000,177.1902,1.5098,CAR ,2,0,3.97,0.358
1766060480.748163,0.6000,0.2700,0.8100,0.8594,-0.2594,176.5700,174.8892,1.6808,CAR ,2,0,3.99,0.368
1766060480.852837,0.5800,0.2700,0.7900,0.8465,-0.2665,174.3300,172.4665,1.8635,CAR ,2,0,4.01,0.360
1766060480.9085379,0.5800,0.2600,0.7900,0.8402,-0.2602,173.0500,171.0352,2.0148,CAR ,2,0,4.00,0.352
1766060480.9630177,0.5700,0.2600,0.7800,0.8339,-0.2639,171.8800,169.6280,2.2520,CAR ,2,0,4.01,0.358
1766060481.0530932,0.5800,0.2700,0.7800,0.8249,-0.2449,169.2900,167.4196,1.8704,CAR ,2,0,4.01,0.363
1766060481.1038158,0.7900,-1.0000,0.7900,0.7756,0.0144,186.3600,-178.4456,4.8056,BALL,6,0,268.87,0.347
1766060481.2063997,0.5700,0.2700,0.7700,0.8095,-0.2395,166.4200,163.7567,2.6633,CAR ,2,0,3.98,0.351
1766060481.3013024,0.5700,0.2800,0.7600,0.7998,-0.2298,164.2300,161.9290,2.3010,CAR ,2,0,3.99,0.298
1766060481.3538854,0.5600,0.2700,0.7500,0.7943,-0.2343,162.7500,160.5420,2.2080,CAR ,2,0,3.99,0.310
1766060481.4044409,0.5600,0.2700,0.7500,0.7895,-0.2295,162.2000,159.7011,2.4989,CAR ,2,0,4.00,0.277
1766060481.4549646,0.7200,-1.0000,0.7200,0.7133,0.0067,178.8100,174.0474,4.7626,BALL,6,0,268.86,0.283
1766060481.5083034,0.5600,0.2600,0.7500,0.7791,-0.2191,160.2600,157.4707,2.7893,CAR ,2,0,3.85,0.237
1766060481.5598488,0.5500,0.2700,0.7400,0.7737,-0.2237,159.1700,156.6163,2.5537,CAR ,2,0,3.90,0.268
1766060481.6510284,0.5600,0.2700,0.7500,0.7654,-0.2054,157.7500,154.9994,2.7506,CAR ,2,0,4.00,0.245
1766060481.7508135,0.5600,0.2800,0.7500,0.7575,-0.1975,156.3300,153.6713,2.6587,CAR ,2,0,4.00,0.209
1766060481.853622,0.5700,0.2800,0.7600,0.7482,-0.1782,155.3600,152.4138,2.9462,CAR ,2,0,4.01,0.203
1766060481.904001,0.6400,-1.0000,0.6400,0.6487,-0.0087,172.4500,167.8389,4.6111,BALL,6,0,268.94,0.204
1766060481.9951012,0.6000,0.2800,0.8100,0.7330,-0.1330,154.6600,150.5041,4.1559,CAR ,2,0,4.01,0.193
1766060482.0498233,0.6100,0.2700,0.8300,0.7282,-0.1182,154.4300,149.6228,4.8072,CAR ,2,0,4.01,0.169
1766060482.1015759,0.6200,0.2700,0.8600,0.7229,-0.1029,154.1800,148.8605,5.3195,CAR ,2,0,3.98,0.170
1766060482.1529093,0.6600,0.2700,0.9100,0.7180,-0.0580,153.6500,148.3932,5.2568,CAR ,2,0,3.97,0.159
1766060482.2606049,0.6700,0.2700,0.9400,0.7074,-0.0374,153.4100,147.5296,5.8804,CAR ,2,0,3.86,0.167
1766060482.3208058,0.6800,0.2700,0.9500,0.7012,-0.0212,153.3600,146.9405,6.4195,CAR ,2,0,3.98,0.151
1766060482.4127595,0.2800,0.2800,0.9900,0.6913,-0.4113,153.0500,146.2495,6.8005,CAR ,2,0,3.99,0.153
1766060482.4988482,0.2700,0.2700,1.0100,0.6830,-0.4130,152.9800,145.7402,7.2398,CAR ,2,0,4.00,0.148
1766060482.5517712,0.2700,0.2700,1.0100,0.6782,-0.4082,152.9700,145.2734,7.6966,CAR ,2,0,4.00,0.123
